Disease,1
fungal infection,1) Avoid STEROID-containing creams.                                                                                                                                                                                                                                                                                        2) Complete the treatment given by dermatologists.                                                                                                                                                                                                                                                           3) Apply the cream on 2-3 cms of normal skin in addition to the rash.                                                                                                                                                                                                                        4) Take daily baths with antifungal soaps.                                                                                                                                                                                                                                                                               5) Daily wash and iron your clothes and undergarments.
allergy,"1) Consume more papaya and pinepple.                                                                                                                                                                                                                                                                                    2) Take Oatmeal bath.                                                                                                                                                                                                                                                                                                                       3) Apply Aloe vera, neem to avoid itching.                                                                                                                                                                                                                                                                             4) Apply moisturizers to feel hydrated.                                                                                                                                                                                                                                                                                       5) Stop scratching!"
gerd,1) Elevate head of bed 6-8 inches.                                                                                                                                                                                                                                                                                              2) Decrease fatty meals.                                                                                                                                                                                                                                                                                                                  3) Alcohol minimization.                                                                                                                                                                                                                                                                                                                  4) Avoid late evening and large meals.                                                                                                                                                                                                                                                                                     5) Avoid sleeping on additional pillows.
chronic cholestasis,1) Consume Vitamin K and Vitamin D rich foods.                                                                                                                                                                                                                                                                 2) Take calcium content.                                                                                                                                                                                                                                                                                                                     3) Avoid Alcohol and drugs.                                                                                                                                                                                                                                                                                                                4) Drink lots of water.                                                                                                                                                                                                                                                                                                                        5) Consume a good amount of golden milk latte.
drug reaction,1) Use cool compresses on the area or take cool showers.                                                                                                                                                                                                                                               2) Anti-inflammatory medication.                                                                                                                                                                                                                                                                                                3)  Swallowing herbal capsules containing Allium or Euphrasia can help reduce the allergic response in the body.                                                                                                                                    4)  Honey can help reduce allergy symptoms.
peptic ulcer disease,"1) Consume vitamin rich fruits and vegetables.                                                                                                                                                                                                                                                                    2) Avoid acidic foods like citrus, tomatoes, deep-fried foods, chillies and hot peppers.                                                                                                                                                                                          3) Avoid alcohol.                                                                                                                                                                                                                                                                                                                                  4) Drink cabbage juice."
aids,1) Eating a nutritious and balanced diet.                                                                                                                                                                                                                                                                                      2) Keep fitness routine by different types of excercises.                                                                                                                                                                                                                                                 3) Maintain your mental and emotional health.                                                                                                                                                                                                                                                                   4) Before taking any new vitamins and minerals make sure to check with your doctor.
diabetes,"1) Eat sugerless foods if you have high blood sugar.                                                                                                                                                                                                                                                                                2) Do regular excercises like walking, swimming etc.                                                                                                                                                                                                                                                                              3) Test your sugar level regularly.                                                                                                                                                                                                                                                                                                                       4) Eat vitamin rich foods.        "
gastroenteritis,1) Take your food on time.                                                                                                                                                                                                                                                                                                                            2) Take foods which improve Humidity.                                                                                                                                                                                                                                                                                                    3) Try to eat small amounts of food frequently if you experience nausea.           
brochial asthma,"1) Eat Vitamin D and Vitamin A rich foods such as milk and egg.                                                                                                                                                                                                                                                      2) Do breathing excercises.                                                                                                                                                                                                                                                                                                                            3) Take lots of apple, banana and magnesium foods like spinach,pumpkin seeds."
hypertension,1) Eating a heart-healthy diet with less salt.                                                                                                                                                                                                                                                                                      2) Getting regular physical activity.                                                                                                                                                                                                                                                                                                  3) Maintaining a healthy weight or loosing weight if you are over weight or obese.                                                                                                                                                                                           4) Limitimg amount of alchohol you drink.      
migraine,"1) Maintain regular sleep patterns.                                                                                                                                                                                                                                                                                                                 2) Eat regular meals, do not skip meals, and eat a good, healthy breakfast.                                                                                                                                                                                                                        3) Reduce stress.                                                                                                                                                                                                                                                                                                                                 4) Exercise regularly."
cervical spondylosis,"1) Aim to keep your neck moving as normally as possible.                                                                                                                                                                                                                                                                    2) Yoga, Pilates and the Alexander Technique all improve neck posture.                                                                                                                                                                                                                                              3) A firm supporting pillow must be used and try not to use more than one pillow.                                                                                                                                                                                                          4) Every few hours gently move the neck in each direction. Do this several times a day.             "
paralysis (brain hemorrhage),"1) Consult specialist immediately.                                                                                                                                                                                                                                                                                                         2) Elevate head of bed.                                                                                                                                                                                                                                                                                                                                        3) Physical therapy, speech therapy and occupational therapy.         "
jaundice,"1) When infants are diagnosed with Jaundice,exposing them to sunlight as it is beneficial.                                                                                                                                                                            2) Sugarcane juice helps in strengthening the liver and aids in its proper functioning. Have a glass daily till your jaundice improves.                                                                                         3) Goats milk has useful antibodies that help in curing jaundice.                                                                                                                                                                                                                                4) Garlic helps with liver detoxification and thus contributes to curing jaundice.                                                                                                                                                                                                 5) The probiotics in yogurt help improve immunity."
malaria,"1) Stay somewhere that has effective air conditioning and screening on doors and windows.                                                                                                                                                                                             2) If you're not sleeping in an air-conditioned room, sleep under an intact mosquito net that's been treated with insecticide.                                                                                                                                                                                                                                                                                                  3) Use insect repellent on your skin and in sleeping environments.                                                                                                                                                                                                                                          4) Have 2 cups of herbal tea or turmeric milk every day."
chicken pox,1) Take bath using lukewarm water to avoid itching every 2 to 3 hours.                                                                                                                                                                                                                                 2) Trimming of finger nails and cleaning body daily to avoid building up bacteria.                                                                                                                                                                                                                3) Do not consume oily items or dairy products.                                                                                                                                                                                                                                                                      4) Avoiding scratching the rash to keep the infection from spreading.                                                                                                                                                                                                                                 5) Eating a variety of easy-to-tolerate healthy foods.
dengue,"1) Drinking plenty of liquids.                                                                                                                                                                                                                                                                                                                   2) Getting rest.                                                                                                                                                                                                                                                                                                                                          3) Vegetables such as spinach, pumpkin helps purify your body.                                                                                                                                                                                                                                               4) Both Vitamin C and Vitamin K are essential to increase the platelet count.             "
typhoid,"1) You should opt for foods lower in fiber, such as cooked vegetables, ripe fruits, and refined grains.                                                                                                                                                                         2) Spicy foods and foods that are high in fat may also be difficult to digest and should be limited on the typhoid diet.                                                                                                                                3) Wash your hands regularly, wash all produce thoroughly, and steer clear of raw meat, raw fish, and unpasteurized dairy products.                                                                                                                                                                     4) Eat foods rich in omega-3 fatty acids.                                                                                                                                                                                                                                                                                                        5) If you are a vegetarian, include cottage cheese, legumes, or yoghurt in your diet as they are a good source of protein. Non-vegetarians can include eggs and lean meat."
hepatitis a,"1) Low-fat or non-fat dairy products.                                                                                                                                                                                                                                                                                               2) Consume whole grains such as oats, brown rice, barley, and quinoa.                                                                                                                                                                                                                                          3) Lean protein such as fish, skinless chicken, egg whites, and beans.                                                                                                                                                                                                                          4) Healthy fats like those in nuts, avocados, and olive oil.                "
hepatitis b,"1) Low-fat or non-fat dairy products.                                                                                                                                                                                                                                                                                               2) Consume whole grains such as oats, brown rice, barley, and quinoa.                                                                                                                                                                                                                                          3) Lean protein such as fish, skinless chicken, egg whites, and beans.                                                                                                                                                                                                                          4) Healthy fats like those in nuts, avocados, and olive oil.    "
hepatitis c,"1) You should eat between 1 and 3 cups of vegetables each day.                                                                                                                                                                                                                                             2) Foods containing protein are very important. Protein helps repair and replace liver cells damaged by hepatitis C.                                                                                                                                          3) Dairy products, such as milk, yogurt, and cheese, are a good source of protein and calcium.                                                                                                                                                                            4) Whole grains are a good source of dietary fibre and gives healthy bowel function and reduces your risk for heart disease.   "
hepatitis d,"1) Low-fat or non-fat dairy products.                                                                                                                                                                                                                                                                                               2) Consume whole grains such as oats, brown rice, barley, and quinoa.                                                                                                                                                                                                                                          3) Lean protein such as fish, skinless chicken, egg whites, and beans.                                                                                                                                                                                                                          4) Healthy fats like those in nuts, avocados, and olive oil.    "
hepatitis e,"1) Regular low calorie meals containing protein (such as meat, fish or beans), starch (such as bread, potatoes or rice) and vitamins (in fruit and vegetables).                                                                                                                                                              2) Advised to rest.                                                                                                                                                                                                                                                                                                                                       3) Avoid alcohol.                                                                                                                                                                                                                                                                                                                                                4) Get adequate nutrition and fluids.              "
alcoholic hepatitis,"1) Avoid alchohol and never drink it again.                                                                                                                                                                                                                                                                                       2) Do not eat foods high in sugar,salt and fat.                                                                                                                                                                                                                                                                              3) Eat balanced diet that is food from all food groups.                                                                                                                                                                                                                                                                4) Drink lots of water.      "
tuberculosis,"1) Energy rich foods such as cereals, millets and pulses must be consumed.                                                                                                                                                                                                                2) Protective foods such as green leafy vegatables,eggs,fruits must be consumed.                                                                                                                                                                                                           3) Body building foods such as milk products must be taken.                                                                                                                                                                                                                                              4) Avoid alchohol,more spices and salt,excess tea or coffee,carbonated drinks,tobacco products.  "
common cold,"1) Warm drinks like tea are great for colds.                                                                                                                                                                                                                                                                                        2) Avoid foods kept in refrigerator and also cold food items like icecream,juices etc.                                                                                                                                                                                              3) Walnuts consumption supports immune system.                                                                                                                                                                                                                                                                      4) Avoid bakery foods,junk foods,processed food etc."
pneumonia,"1) Drinking plenty of fluids like water,juice etc.                                                                                                                                                                                                                                                                                                2) A diet rich in protein such as nuts,seeds,beans,white meat etc.                                                                                                                                                                                                                                                  3) Green leafy vegetables like kale, lettuce, spinach must be consumed.                                                                                                                                                                                                                      4) Honey is known for its healing properties and hence it cures cough and cold.           "
dimorphic hemmorhoids(piles),"1) Do not consume alchohol,spicy foods,dairy products,deep fried and processed food items.                                                                                                                                                                        2) Consume fruits and vegetables like broccoli, cauliflower, kale, cabbage, zucchini, pumpkin, bell peppers, cucumber etc.                                                                                                         3) Regular physical activity for a minimum of 30 minutes a day.                                                                                                                                                                                                                                         4) Do not wait when one get an urge to use the washroom or strain during bowel movement.                                                                                                                                                                                5) Sit in a warm bath or use an ice pack or hemorrhoids cream."
heartattack,1) Consume lots of fruits and vegetables.                                                                                                                                                                                                                                                                                          2) Regular yoga practices.                                                                                                                                                                                                                                                                                                                       3) Drink lots of water.                                                                                                                                                                                                                                                                                                                       4) Consume low-fat dairy products.               
varicoseveins,"1) Start your day with a glass of water and consume plenty of water daily.                                                                                                                                                                                                                                        2) Avoid sodium rich foods.                                                                                                                                                                                                                                                                                                                                     3) A high-fiber diet can also help you maintain a healthy weight and prevent varicose veins.                                                                                                                                                                                  4) Consume garlic,spinach,citrus fruits etc.          "
hypothyroidism,"1) Exercise regularly to loose unhealthy weight.                                                                                                                                                                                                                                                                            2) Consume proteins,healthy fats,cooked cruciferous vgetables etc.                                                                                                                                                                                                                                             3) Drink plenty of water.                                                                                                                                                                                                                                                                                                                                            4) Avoid eggs,dry fruits,chocolates,coffee,alchohol etc.                  "
hyperthyroidism,"1) A low-iodine diet Selenium-rich foods such as rice,mushroom etc may help to balance thyroid hormone levels.                                                                                                                                                      2) Calcium-rich foods such as mushroom,spinach,collard greens etc.                                                                                                                                                                                                                                                         3) Avoid the seafood."
hypoglycemia,"1) Reduce or eliminate processed and refined sugars from your diet.                                                                                                                                                                                                                                            2) Reduce or eliminate alcoholic drinks, and never mix alcohol with sugar-filled mixers, such as fruit juice.                                                                                                                                                   3) Eat small meals every 3 to 4 hours throughout the day, rather than 3 large meals per day.                                                                                                                                                                                      4) Exercise regularly.                                                                                                                                                                                                                                                                                                                                      5) Consume foods rich in glucose."
osteoarthristis,"1) Aim to eat atleast one portion of oily fish per week.                                                                                                                                                                                                                                                             2) Consume milk,yogurt and cheese.                                                                                                                                                                                                                                                                                                    3) Consume leafy vegetables such as spinach,collard greens etc.                                                                                                                                                                                                                                                       4) Avoid sugar,saturated fat,refined carbohydrates.                                                                                                                                                                                                                                                                   5) Selecting wholemeal options over those containing refined flour."
arthritis,1) Manage your weight.                                                                                                                                                                                                                                                                                                                      2) Get enough exercise.                                                                                                                                                                                                                                                                                                                    3) Use hot and cold therapy.                                                                                                                                                                                                                                                                                                           4) Use meditation to cope with pain.                                                                                                                                                                                                                                                                                         5) Follow a healthy diet.
paroymsal positional vertigo,"1) Stress management.                                                                                                                                                                                                                                                                                                                     2) Adequate amount of sleep.                                                                                                                                                                                                                                                                                                          3) Avoid alcohol.                                                                                                                                                                                                                                                                                                                                 4) Drinking ginger tea twice a day may help dizziness, nausea, and other vertigo symptoms."
acne,1) Apply apple cider vinegar.                                                                                                                                                                                                                                                                                                         2) Take a zinc supplement.                                                                                                                                                                                                                                                                                                             3) Make a honey and cinnamon mask.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          4) Spot treat with tea tree oil.                                                                                                                                                                                                                                                                                                       5)  Apply green tea to your skin.                                                                                                                                                                                                                                                                                                  6) Moisturize with aloe vera.
urinary tract infection,1) Drinking fluids.                                                                                                                                                                                                                                                                                                                               2) Do not hold your pee.                                                                                                                                                                                                                                                                                                                  3) Apply heat.                                                                                                                                                                                                                                                                                                                                       4) Avoid tight clothing. Use cotton underwear and avoid synthetic fabrics.                                                                                                                                                                                                              5) Dietary factors may help manage and prevent UTI.                                                                                                                                                                                                                                                        6) Pain relief medication.
psoriasis,1) Take dietary supplements.                                                                                                                                                                                                                                                                                                        2) Prevent dry skin.                                                                                                                                                                                                                                                                                                                               3) Avoid fragrances.                                                                                                                                                                                                                                                                                                                           4) Eat healthfully.                                                                                                                                                                                                                                                                                                                               5) Reduce stress.                                                                                                                                                                                                                                                                                                                                 6) Avoid alcohol.
impetigo,1) Apply Aloe vera.                                                                                                                                                                                                                                                                                                                                2) Chamomile used to moisturize the skin and reduce inflammation.                                                                                                                                                                                                                          3) Grapefruit seed may help manage impetigo.                                                                                                                                                                                                                                                                    4) Oil extracted from neem's bark is a popular skin remedy.                                                                                                                                                                                                                                           5) Apply honey directly to impetigo sores.
